"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","ratio_2_4","ratio_2_6","ratio_4_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6","V","V_1","V_2","V_3","V_4","V_5","V_6","V_7"
"m16 1 8-2_Spine85.mat",-0.0271209311334064,0.303164519,0.286344435,0.298007827,0.326869739,0.297268692,0.164094493,-3.102607866,1.312743322,0.961708799,1.796950978,-1.869669897,-0.975638376,-0.998967606,-0.98142931,-0.961798665,-0.949818964,-0.820770069,-0.960375858,0.224061891,0.283258819,0.368680008,0.452569555,0.462094747,0.414058741,0.136872694,0.140089313,0.216869173,0.299833498,0.344315287,0.278473408,3.41961365,2.905743284,0.849728531,2.561860278,1.869477025,0.772774668,0.607729937,0.333144857,0.461364927,1.519822372,1.524886614,1.487852757,1.384684885,1.309058181,1.277750044,0.481571233,0.008371635,0.039916132,0.063140594,0.113744075,0.159928626,0.148012993,0.026781235
"if6 2 0-2_Spine66.mat",0.0607658911145568,0.383002129,0.339679707,0.332548666,0.339806918,0.331623292,0.191009831,1.265607608,1.074667137,2.853268591,2.922983576,0.990230482,-0.327055273,-0.813081199,-0.998656246,-0.957789657,-0.97922988,-0.958868201,-0.996217571,0.292577374,0.317190047,0.408164031,0.506939351,0.593977417,0.519167976,0.112996883,0.141566877,0.210788928,0.283549828,0.357066362,0.293737239,3.201136466,3.396140913,1.060917255,1.826392577,0.92671965,0.63641147,0.296727686,0.064340385,0.048769916,1.135555109,1.192015825,1.128560378,1.102971124,1.054372538,1.068337526,0.640560656,0.010136343,0.046645011,0.073609467,0.128045769,0.195420404,0.206624926,0.041214237
"api m16 1 2-1_Spine234.mat",0.0599969093531195,0.114409542,0.145536599,0.144481351,0.145794783,0.137864954,0.074473061,2.167324364,1.460469995,0.177983951,2.307077326,2.837628915,-2.741292935,-0.962870702,-0.977507523,-0.900280071,-0.987576777,-0.908072314,-0.997077609,0.13777596,0.234154563,0.28282085,0.342885924,0.354939982,0.263316404,0.120954606,0.162186953,0.158179371,0.170892347,0.187910601,0.139282318,1.542956672,0.965729201,0.625895217,2.031271056,-0.768805205,-0.938535042,-0.005975002,0.291133907,1.464752413,1.491385124,1.55482401,1.496826402,1.483400448,1.462007674,1.525709849,0.100121252,0.001092609,0.012327634,0.023218126,0.026510317,0.032588202,0.024836081,0.004033659
"if6 1 5-4_Spine74.mat",0.120928296961955,0.517926514,0.508640969,0.540056265,0.542654,0.555549994,0.422905983,-0.463742088,2.761646739,2.39463739,2.05145408,1.354557848,-1.084091655,-0.986085754,-0.996510632,-0.944966962,-0.986441046,-0.921700464,-0.711467382,0.259489037,0.393261709,0.516871326,0.500223285,0.501774451,0.584994931,0.201055246,0.230149306,0.257999787,0.236631955,0.241789425,0.297593797,1.307813947,1.923466586,1.470749406,-1.525703401,-2.433469213,-3.066414193,-2.280623001,-0.937493063,-0.283694796,1.463236201,1.553890467,1.516564531,1.526434576,1.479504794,1.313734805,1.099055485,0.023702402,0.119911344,0.198703112,0.229341177,0.218267817,0.255674064,0.09270376
"m16 2 11api_Spine157.mat",0.110815060347938,0.326441218,0.295355317,0.30335198,0.296891829,0.285036877,0.23541198,1.406546127,0.991320002,2.514381383,-2.619114133,-1.396218772,-0.602162843,-0.78202871,-0.986931219,-0.988455594,-0.989054727,-0.995555705,-0.995310464,0.270393739,0.283976868,0.374752663,0.406988382,0.359270468,0.27981427,0.233982084,0.259055691,0.315258666,0.330321261,0.303902244,0.198638476,1.827437096,0.755539422,0.413442096,2.90880965,0.406631599,0.314605387,0.260462356,0.307404844,0.465706858,1.509369442,1.368565677,1.173765583,1.086896419,1.079233228,1.047574165,0.448077325,0.012370547,0.067718388,0.091686947,0.129510651,0.127557053,0.081076593,0.017326011
"if6 1 2-2_Spine5.mat",0.0129519987409769,0.162167208,0.185503232,0.195336204,0.190747647,0.173421366,0.118772309,1.973236495,1.706328228,0.542270642,-1.34812098,-2.245559195,-0.929777287,-0.991878041,-0.993056863,-0.996489786,-0.997750043,-0.998888695,-0.992883304,0.172517633,0.264662324,0.293390775,0.293650025,0.249602692,0.164537709,0.130020611,0.188802342,0.210090633,0.213200542,0.198563788,0.159173326,1.252907038,0.524126646,0.41832844,-3.038298897,2.964295664,-2.94918041,1.048763069,1.334273861,2.780691053,1.37976413,1.45625934,1.534647286,1.548715297,1.541981332,1.501707648,0.148052503,0.004259444,0.026504701,0.044142078,0.048662784,0.04386304,0.025000697,0.005583716
"m16 1 3-2_Spine26.mat",0.000548133817493017,0.013118782,0.086896079,0.135230237,0.154364012,0.1380223,0.0811351,0.829669942,0.268511783,1.074062352,-2.73109792,0.751385225,0.020098059,-0.597002518,-0.905127419,-0.807228108,-0.957312253,-0.882412635,-0.952059286,0.124249672,0.251177549,0.365794557,0.383688062,0.371170073,0.271398822,0.124219827,0.227193339,0.231844179,0.240140682,0.199641356,0.126253751,1.614609913,0.600448602,0.371884625,0.150080796,0.344581327,0.510992664,0.349631169,0.086264101,0.161510067,1.508528815,1.416332681,1.219664305,1.121432904,1.045408807,1.105070678,0.090768023,0.000120399,0.004165059,0.019994147,0.042564976,0.054439011,0.036916355,0.006251989
"m16 2 8api_Spine102.mat",-0.00749969313606069,0.100823718,0.114446615,0.135178183,0.134594942,0.214983992,0.115944805,1.882147453,2.968395689,-0.761324588,0.320162985,0.531458293,2.709357398,-0.234133641,-0.888952713,-0.875028786,-0.981009518,-0.772831941,-0.817078156,0.133793703,0.268697816,0.387038474,0.52348298,0.608215035,0.442938923,0.073063491,0.173304262,0.268915533,0.387157641,0.379618031,0.225150683,4.352281935,2.141626506,0.492069801,0.828133554,0.567301592,0.381128725,0.301933907,0.45557731,0.362331256,0.860717536,0.36838033,0.180701514,0.0150090389999997,-0.0333955570000002,-0.0322983880000003,0.280932739,0.001423319,0.017108773,0.058326295,0.122243674,0.177511203,0.137844294,0.02525999
"api m16 1 9-1_Spine156.mat",0.0820186579889883,0.31582499,0.394920703,0.378194983,0.36943233,0.350506609,0.251995655,0.804854163,2.840227469,-1.492709703,0.268142202,1.823713654,-2.832499313,-0.869917973,-0.892543753,-0.99966695,-0.982468324,-0.995007441,-0.94868186,0.333781291,0.549188935,0.555548125,0.589024264,0.570188945,0.436566244,0.279366871,0.34881442,0.430744016,0.423754398,0.358017584,0.260049635,1.302960336,0.59263895,0.454840361,-0.459310649,0.821188753,0.307042265,0.010256615,-0.085328835,-0.330282082,1.373641663,1.318991627,1.318283475,1.319559424,1.341360526,1.395994603,1.185782622,0.027455545,0.206875731,0.370974932,0.386292182,0.325110315,0.208558544,0.042133389
"api m16 1 9-1_Spine143.mat",0.0232074908713114,0.227891336,0.249744359,0.254678351,0.252683257,0.23425924,0.171139495,1.84939276,0.732751372,0.2952761,-0.768347284,-2.796310946,-1.96315607,-0.903120731,-0.985755444,-0.999592895,-0.988214906,-0.978662228,-0.818758485,0.20298165,0.30802842,0.363472306,0.425072852,0.433900672,0.352481392,0.194234974,0.283864341,0.318957956,0.303855063,0.288381043,0.217212589,1.477162308,0.875627834,0.592776995,2.656253896,0.008548845,0.041427203,0.025685695,0.021163303,0.085226142,1.452145276,1.514094825,1.42248942,1.346431784,1.351247039,1.344054525,0.39860336,0.008185582,0.050644802,0.092831566,0.119281319,0.133166902,0.097977384,0.020785701
"if6 2 5api_Spine73.mat",0.0419668151507296,0.208940263,0.185538502,0.176397867,0.169124888,0.172479715,0.080042631,1.844032155,1.380112362,-2.50339168,0.47433441,-0.212778674,2.267182176,-0.920090925,-0.938373052,-0.943133386,-0.929340067,-0.988206481,-0.904282612,0.165017318,0.140378395,0.213505547,0.252407219,0.326021899,0.306580381,0.079910333,0.112414456,0.146393102,0.211114271,0.246093343,0.179579229,3.376734608,3.4888157,1.033192153,2.583849264,-1.0179974,-0.028129393,-0.205151594,-0.102693319,-0.243398018,1.352096407,1.530864287,1.223487184,1.158693345,1.122033841,1.047909048,0.124522418,0.002700564,0.010973117,0.013811136,0.027014897,0.043583218,0.043298969,0.008914529
"m16 2 10-3_Spine56.mat",0.0284796387174897,0.261831064,0.257551333,0.269219164,0.318779141,0.321018702,0.228251118,2.277238766,2.331927245,1.590291936,1.115573324,-0.500346331,-1.18801595,-0.987944336,-0.936228096,-0.903947624,-0.978115753,-0.9932718,-0.969209512,0.236494418,0.407906702,0.529751525,0.669110985,0.630393063,0.424980696,0.109162302,0.183603626,0.316865338,0.397494308,0.393298938,0.26380758,3.551296875,1.496974418,0.421528943,-1.140202224,-0.869283325,-0.7869486,-0.581278516,-0.526618569,-0.472883994,1.151669677,1.339947365,1.248343455,1.14516178,1.156643026,1.261485179,0.685647015,0.007797884,0.053012228,0.133090258,0.226294831,0.300938157,0.19498729,0.036220613
"m16 1 6-2_Spine123.mat",0.00297742255118921,0.17992854,0.168358245,0.150424772,0.170965352,0.174247378,0.137703294,0.513885787,2.387628266,1.983535754,-2.562155035,0.075052902,-0.073376038,-0.88114568,-0.875709991,-0.934636871,-0.991045872,-0.990833938,-0.822693435,0.180746318,0.232679032,0.30648556,0.4286146,0.50030358,0.459443596,0.113903062,0.126282045,0.149606713,0.218079193,0.253606211,0.183014875,3.181136754,2.86167124,0.899575045,-0.1790344,0.113395363,0.067154258,-0.053403212,-0.167689251,-0.175903882,1.121256355,1.107211044,1.109315615,1.010761458,1.002268209,1.002820496,0.2028057,0.002753287,0.016383659,0.026897596,0.04645781,0.082676205,0.084499076,0.021643755
"m16 1 3-1_Spine56.mat",-0.0754344116186313,0.039857964,0.080781786,0.101460165,0.337995601,0.195652353,0.137859958,-3.044063666,-3.078476982,0.824356159,1.355310621,1.603540545,2.215838809,-0.947953906,-0.986082644,-0.897107675,-0.781817676,-0.995994661,-0.980916489,0.147994383,0.281816791,0.440815263,0.562790018,0.410841392,0.282743144,0.105476333,0.218918679,0.265644913,0.256693493,0.209986479,0.135443133,2.34159381,0.620725219,0.265086633,-2.823478731,-2.421707889,-2.386358661,-1.751505075,-1.129753511,-0.938541361,1.168938661,1.15036967,1.170703579,0.875299104,1.238177568,1.290818392,0.181367349,0.000535163999999999,0.014213312,0.060645342,0.115173446,0.122729976,0.040308237,0.007983109
"m16 1 13-2_Spine6.mat",0.0694237660435839,0.315024967,0.298686257,0.318808786,0.306772467,0.321415771,0.181436856,1.847185283,-0.475144516,0.0425463519999999,-2.748355899,3.055477404,-1.956563568,-0.927421247,-0.990717957,-0.968269407,-0.990077213,-0.947979933,-0.983442036,0.244872376,0.342225262,0.458241908,0.465917694,0.533609556,0.460622273,0.141988268,0.204099511,0.257804824,0.315788241,0.363910858,0.305204369,2.106449874,2.012712073,0.955499629,0.957183071,0.751922118,0.441518363,0.497505512,0.562394283,0.726353215,1.249395374,1.346590704,1.352993497,1.340286978,1.33779613,1.311418742,0.635663778,0.008362254,0.055221574,0.098863761,0.150867436,0.195959125,0.188433655,0.037448105
"m16 2 11api_Spine93.mat",0.0389416739451829,0.045316755,0.079131043,0.112531041,0.107453397,0.131421302,0.165585927,2.113253862,-0.145235484,0.811476698,-2.340894181,1.214483741,0.565010617,-0.653440292,-0.967353015,-0.995450952,-0.980942696,-0.927883738,-0.70372358,0.125965133,0.264607836,0.386456497,0.484607415,0.504000471,0.377720796,0.108384492,0.177914466,0.250997197,0.292157087,0.270875918,0.152095353,3.007409155,1.220317613,0.405770399,-0.434973602,-0.515411382,-0.624680275,-0.667068062,-0.83226078,-1.303276156,1.138784022,1.181150161,1.253543318,1.26819733,1.325366353,1.50072259,0.143676046,0.001411725,0.013061071,0.045615143,0.084936307,0.103546746,0.064891224,0.014548853
"if6 1 12api_Spine21.mat",-0.00867768536532315,0.078262279,0.087090431,0.096607847,0.111470218,0.090542235,0.154869817,2.060140246,1.312517888,-2.452928107,-2.0071842,0.646815013,0.561039052,-0.947310848,-0.97915728,-0.94564164,-0.968366763,-0.987817258,-0.121440108,0.092947496,0.175952198,0.220990321,0.274044082,0.271704172,0.259351655,0.064237461,0.097623737,0.133773947,0.14501255,0.139817817,0.094600568,2.313534015,1.428343429,0.617385964,2.57048486,0.130214753,-0.269991128,-0.682820078,-0.409831376,-0.50078616,1.399064785,1.422727702,1.346187972,1.382820258,1.311367921,1.24902257,0.043661117,0.000653627,0.004561497,0.01060431,0.018425027,0.022539815,0.017764427,0.005019584
"api m16 1 5-1_Spine231.mat",-0.0390766914365703,0.177910556,0.162848052,0.205521347,0.222333251,0.21482666,0.191163542,-0.688801852,2.309968083,1.204453771,-0.230049916,0.320674252,2.591828468,-0.924853465,-0.777811923,-0.968844674,-0.990426918,-0.988208938,-0.952815416,0.112721358,0.190483419,0.267612616,0.332399041,0.31454828,0.220929119,0.073266454,0.165931703,0.24986457,0.232982394,0.212261458,0.156894919,2.450170555,1.096668301,0.447588556,-3.093553902,2.328543435,-1.881782812,-1.442070667,-2.147749445,-2.988417259,1.281047794,1.333937001,1.426889777,1.378232269,1.434600493,1.38355486,0.160059923,0.001933222,0.015490526,0.051166901,0.083695485,0.079178767,0.043335956,0.009260888
